번호,인정기관명,인증기업명(국문),현상태,사업자등록번호,메인사업장 지역코드,메인사업장 주소,종업원수(전체),전화번호,E-Mail,Fax,담당자,대표자,우편번호,인증표준,인증번호,최초인증일(기관 최초),최초인증일(인증서 최초),인증유효 시작일자,인증유효 만료일자,인증범위 입력,산업분류코드1,산업분류코드2,산업분류코드3
1,KAB,사랑새화장품(주),심사진행,--,경기,경기 부천시 원미구 도약로269번길 27 (도당동),1,032-684-2626,ceo@sarangsae.com,--,한영식 책임연구원,장승재,14523,ISO22716:2007,KSGA-262870,,,,,"헤어케어 제품(샴푸, 헤어트리트먼트, 헤어로션, 퍼머넌트웨이브, 염모제),스킨케어 제품(크림, 클렌징), 바디케어제품(크림, 클렌징, 오일)의 제조",A-03,A-08,"A-11,B-06"
2,KAB,주식회사 휴온스랩,,648-88-00926,경기,"경기 과천시 과천대로7나길 56-19 (갈현동, 휴온스그룹 통합R&D센터)",,--,,--,,윤성태,13840,ISO 45001:2018,,,,,,"바이오의약품, 식품, 생물학적제제의 연구개발",34,,
3,KAB,우진테크,심사진행,--,경기,"경기 군포시 공단로140번길 46 , 206호",1,031-360-7078,wjt-jypark@naver.com,--,박진용 대표이사,박진용,15847,ISO 9001:2015,Q260512,,,,,"금속 절삭가공 제품의 제조(AL가공, SUS가공, 광학부품, 산업용 카메라부품)",17,,
4,KAB,주식회사 벤타코,심사진행,498-87-02676,충남,충남 금산군 금성면 양화길 88 (벤타코),1,041-751-8820,hoyong97@bentaco.co.kr,--,이호용 이사,유상희,32707,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260510,,,,,"철탑 및 철구조물(강관폴 포함), 송배전 금구류)의 설계, 개발 및 제조",17,,
5,KAB,주식회사 에이펙스일렉트릭,심사진행,286-81-03968,전남,전남광주통합특별시 나주시 왕곡면 혁신산단7길 73-6 (덕산리),1,061-820-0052,mschoi@apex-electric.co.kr,0504-161-5062,최문선 부장,전재영,58296,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260507,,,,,"변압기, 변성기, 개폐기, 차단기, COS류, 피뢰기류, 개폐장치, 항공 장애등, control panel, 보호계전기, 보호배전반, 에폭시 절연물 제품의 설계, 개발 및 제조",19,,
6,KAB,라비코스메틱,심사진행,121-24-98845,인천,"인천 서해구 중봉대로393번길 132, 2층 일부(원창동, 대성테크)",1,--,ravicos@naver.com,--,명찬영 대표,명찬영,22853,ISO22716:2007,C260505,,,,,화장품(네일용 제품)의 제조,D-09,,
7,KAB,DOOSUNG TECH MEXICO S.A. DE C.V.,심사진행,--,,,1,52866-160-1440,saeja6@i-dstech.com,--,이세광 부장,김만호,,ISO 14001:2015/ISO 45001:2018,E260503,,,,,PCB Assembly 제품의 제조,19,,
8,KAB,제이씨에스,인증완료,367-11-02703,인천,"인천 남동구 승기천로 254, A동 2층",1,010-3050-4800,tinyhoon@naver.com,--,이승훈 대표,이승훈,21634,ISO22716:2007,C260499,2026-08-24,,2026-08-24,2029-08-23,화장품(네일제품)의 제조,D-09,,
9,KAB,이케이에너지,인증완료,591-58-01068,전남,전남광주통합특별시 나주시 왕곡면 혁신산단4길 56,1,031-351-6338,smeba@naver.com,--,김성장 상무,정은경,58296,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260497,2026-08-18,,2026-08-18,2029-08-17,"COS, 개폐기, 차단기, 계기용 변성기(전력수급용), 폴리머절연애자, 배전용 폴리머 피뢰기, 퓨즈류, 배전용 폴리머 라인포스트 애자, 변압기류, 금구류 및 평와샤의 설계, 개발, 생산 및 부가서비스",17,19,
10,KAB,주식회사 진영엔지니어링,인증완료,449-86-01149,경기,"경기 부천시 원미구 옥산로220번길 15, 2층, 3층(도당동)",1,032-675-6977,jyeng2013@naver.com,032-232-4690,유규영 대표,유규영,14521,ISO 9001:2015/ISO 14001:2015,E260495,2021-01-29,2021-01-29,2026-08-18,2027-01-28,"MCT, CNC가공부품(고속철도차량, 의료기기, 반도체, 초고압부품)의 제조",17,,
11,KAB,(주)포산인더스트리,인증완료,105-81-94893,경기,"경기 고양시 덕양구 청초로 10 (덕은동, 에이동 14층 에이에이 14-1401호, 1403호, 1404호))",1,031-902-5014,posan@posan.com,02-3158-5013,허창수 과장,임경화,10542,ISO 45001:2018,OH260493,2026-09-10,,2026-09-10,2029-09-09,"카메라 테스트 장비, 조색설비의 설계, 개발 및 제조",18,,
12,KAB,(주)대양이에스피,인증완료,621-88-03078,경기,"경기 시흥시 서울대학로 59-49, 711호(배곧동, 건영테크노밸리)",1,031-407-5800,th519@naver.com,031-407-5801,정태홍 대표,정태홍,15012,ISO 9001:2015,Q260491,2026-08-18,,2026-08-18,2029-08-17,"정수처리 설비, 담수처리 설비, 폐수처리 시스템, 배관, 강구조물에 대한 설계, 개발 및 제작 및 설치",17,18,
